Maximum
Sample;Phase;milliVolt
PhT64_32_2020-01-14_14-32-34
1;6;7,112312
;11;4,430834833333333
;8;4,3154376
2;6;7,4140619999999995
;10;4,971235090909091
;3;4,860106
3;6;7,3271500000000005
;11;4,320800500000002
;9;4,184081500000001
4;7;7,202639000000001
;11;4,4109723333333335
5;6;7,1113279999999985
;11;4,295003666666666
6;6;7,0586
;9;6,4835042000000005
7;6;6,850588
;9;6,295216000000001
8;6;7,108397999999999
;3;6,490721999999998
;10;6,264321999999999
9;6;8,108392
;20;7,319330000000001
;10;7,196282666666668
10;6;7,370116000000001
;8;6,839518000000002
;1;6,752440000000001
11;6;7,7675779999999985
;11;5,032308
;2;5,547851999999999
12;7;7,942873999999999
;11;5,061038666666667
13;6;7,540031999999999
;11;4,236157999999999
14;6;6,684569999999999
;11;3,8557120000000005
;7;3,7343736666666665
15;6;7,380856
;11;4,483557500000001
;4;4,4027312
16;6;7,545906
;9;6,813729
;3;6,709726
17;6;6,783200000000001
;8;6,087129555555555
18;6;6,825196
;9;5,9424806
19;6;6,820308
;7;6,181882499999999
20;7;7,535646999999999
;8;6,531577555555556
21;7;6,997074
;11;4,242273833333333
22;7;7,206048999999998
;11;4,4700455
;7;4,302076666666666
23;7;6,701656999999999
;11;4,135902499999999
24;7;7,092774
;11;3,957275833333334
25;7;6,795903000000001
;12;3,937947636363637
;3;3,8828155000000013
26;6;7,537101999999999
;9;6,921135999999999
27;7;7,318848000000001
;11;6,676857200000001
28;6;8,005858
;9;7,205198749999999
29;6;7,293944000000001
;11;6,542967666666667
;1;6,477537
30;6;8,129885999999999
;12;7,417580799999999
;1;7,325686999999999
31;10;9,587887999999996
;15;9,588375999999997
;7;9,622067999999999
32;16;0,07422600000000001
;19;0,07422600000000001
;6;0,07325000000000002
